Token stream: head type func lbrk type var rbrk lpar type var op var op num end key var end rpar type main lbrk rbrk lpar type var op num end type var op func lbrk var rbrk end loop key lbrk type var op num end rbrk lpar prnt lbrk var rbrk end key end rpar key num end rpar $ 

Stack                                                        Lookahead       Top        Rule/Action
[rbrk lpar slst rpar slst rpar pgm $]                        rbrk            rbrk       MATCH
[lpar slst rpar slst rpar pgm $]                             lpar            lpar       MATCH
[slst rpar slst rpar pgm $]                                  prnt            slst       slst -> stmt slst
[stmt slst rpar slst rpar pgm $]                             prnt            stmt       stmt -> pstm
[pstm slst rpar slst rpar pgm $]                             prnt            pstm       pstm -> prnt lbrk var rbrk end
[prnt lbrk var rbrk end slst rpar slst rpar pgm $]           prnt            prnt       MATCH
[lbrk var rbrk end slst rpar slst rpar pgm $]                lbrk            lbrk       MATCH
[var rbrk end slst rpar slst rpar pgm $]                     var             var        MATCH
[rbrk end slst rpar slst rpar pgm $]                         rbrk            rbrk       MATCH
[end slst rpar slst rpar pgm $]                              end             end        MATCH
[slst rpar slst rpar pgm $]                                  key             slst       slst -> stmt slst
[stmt slst rpar slst rpar pgm $]                             key             stmt       stmt -> rstm
[rstm slst rpar slst rpar pgm $]                             key             rstm       rstm -> key rbod end
[key rbod end slst rpar slst rpar pgm $]                     key             key        MATCH
[rbod end slst rpar slst rpar pgm $]                         end             rbod       rbod -> eps
[end slst rpar slst rpar pgm $]                              end             end        MATCH
[slst rpar slst rpar pgm $]                                  rpar            slst       slst -> eps
[rpar slst rpar pgm $]                                       rpar            rpar       MATCH
[slst rpar pgm $]                                            key             slst       slst -> stmt slst
[stmt slst rpar pgm $]                                       key             stmt       stmt -> rstm
[rstm slst rpar pgm $]                                       key             rstm       rstm -> key rbod end
[key rbod end slst rpar pgm $]                               key             key        MATCH
[rbod end slst rpar pgm $]                                   num             rbod       rbod -> num
[num end slst rpar pgm $]                                    num             num        MATCH
[end slst rpar pgm $]                                        end             end        MATCH
[slst rpar pgm $]                                            rpar            slst       slst -> eps
[rpar pgm $]                                                 rpar            rpar       MATCH
[pgm $]                                                      $               pgm        pgm -> eps
[$]                                                          $               $          MATCH

======================================================= ACCEPTED ===============================================================
